k_value,AIC
17,-283.59475376220655
18,-283.59489610430046
5,-283.5949020409073
8,-283.59491253014414
26,-283.5950419567905
7,-283.59510570549935
11,-283.59511351557376
19,-283.5951173433494
25,-283.5951237925774
12,-283.5951267077764
24,-283.59513028035917
23,-283.5951719229314
10,-283.5951731831743
13,-283.59517985177536
2,-283.59518705354697
20,-283.59518718622223
27,-283.59519013008605
14,-283.5951945179032
6,-283.5952004614788
22,-283.595209183418
15,-283.59521297955456
3,-283.59522224726555
16,-283.59523127557264
1,-283.5952407301337
21,-283.59524641370666
9,-283.59525342705433
4,-283.59526383294235
